,Industry Name,Events,Count
0,Bakery Prod/Dough/Mix/Icing,VISITED AN ER,371
1,Bakery Prod/Dough/Mix/Icing,VISITED A HEALTH CARE PROVIDER,370
2,Bakery Prod/Dough/Mix/Icing,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,121
3,Bakery Prod/Dough/Mix/Icing,HOSPITALIZATION,119
4,Bakery Prod/Dough/Mix/Icing,NON-SERIOUS INJURIES/ ILLNESS,1923
5,Bakery Prod/Dough/Mix/Icing,LIFE THREATENING,132
6,Bakery Prod/Dough/Mix/Icing,DEATH,13
7,Bakery Prod/Dough/Mix/Icing,SERIOUS INJURIES/ ILLNESS,8
8,Bakery Prod/Dough/Mix/Icing,NONE,19
9,Bakery Prod/Dough/Mix/Icing,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),83
10,Bakery Prod/Dough/Mix/Icing,DISABILITY,18
11,Bakery Prod/Dough/Mix/Icing,CONGENITAL ANOMALY,1
0,Ice Cream Prod,VISITED AN ER,102
1,Ice Cream Prod,NON-SERIOUS INJURIES/ ILLNESS,643
2,Ice Cream Prod,VISITED A HEALTH CARE PROVIDER,105
3,Ice Cream Prod,HOSPITALIZATION,38
4,Ice Cream Prod,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,37
5,Ice Cream Prod,NONE,4
6,Ice Cream Prod,LIFE THREATENING,42
7,Ice Cream Prod,DISABILITY,11
8,Ice Cream Prod,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),33
9,Ice Cream Prod,DEATH,5
10,Ice Cream Prod,SERIOUS INJURIES/ ILLNESS,1
0,Baby Food Prod,NON-SERIOUS INJURIES/ ILLNESS,570
1,Baby Food Prod,VISITED A HEALTH CARE PROVIDER,399
2,Baby Food Prod,VISITED AN ER,243
3,Baby Food Prod,HOSPITALIZATION,269
4,Baby Food Prod,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,96
5,Baby Food Prod,LIFE THREATENING,113
6,Baby Food Prod,DEATH,40
7,Baby Food Prod,DISABILITY,20
8,Baby Food Prod,SERIOUS INJURIES/ ILLNESS,8
9,Baby Food Prod,NONE,3
10,Baby Food Prod,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),148
11,Baby Food Prod,CONGENITAL ANOMALY,1
0,Snack Food Item,NON-SERIOUS INJURIES/ ILLNESS,744
1,Snack Food Item,VISITED A HEALTH CARE PROVIDER,161
2,Snack Food Item,VISITED AN ER,122
3,Snack Food Item,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,44
4,Snack Food Item,LIFE THREATENING,44
5,Snack Food Item,HOSPITALIZATION,30
6,Snack Food Item,DISABILITY,14
7,Snack Food Item,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),56
8,Snack Food Item,NONE,4
9,Snack Food Item,DEATH,1
0,Fruit/Fruit Prod,DEATH,4
1,Fruit/Fruit Prod,LIFE THREATENING,57
2,Fruit/Fruit Prod,DISABILITY,33
3,Fruit/Fruit Prod,NON-SERIOUS INJURIES/ ILLNESS,1701
4,Fruit/Fruit Prod,VISITED A HEALTH CARE PROVIDER,358
5,Fruit/Fruit Prod,VISITED AN ER,293
6,Fruit/Fruit Prod,HOSPITALIZATION,71
7,Fruit/Fruit Prod,SERIOUS INJURIES/ ILLNESS,74
8,Fruit/Fruit Prod,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,41
9,Fruit/Fruit Prod,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),105
